ID,flower,leafbottom,leaftop,plantside,planttop,primarybranch,seed,leafstrip
ARG0149,ARG0149_flower,ARG0149_leafbottom,ARG0149_leaftop,ARG0149_plantside,ARG0149_planttop,ARG0149_primarybranch,nan,ARG0149_leafstrip
ARG0150,nan,ARG0150_leafbottom,ARG0150_leaftop,ARG0150_plantside,ARG0150_planttop,ARG0150_primarybranch,nan,ARG0150_leafstrip
ARG0151,nan,ARG0151_leafbottom,ARG0151_leaftop,ARG0151_plantside,ARG0151_planttop,ARG0151_primarybranch,nan,ARG0151_leafstrip
ARG0152,nan,ARG0152_leafbottom,ARG0152_leaftop,ARG0152_plantside,ARG0152_planttop,ARG0152_primarybranch,nan,ARG0152_leafstrip
ARG0153,nan,ARG0153_leafbottom,ARG0153_leaftop,ARG0153_plantside,ARG0153_planttop,ARG0153_primarybranch,nan,ARG0153_leafstrip
ARG0154,nan,ARG0154_leafbottom,ARG0154_leaftop,ARG0154_plantside,ARG0154_planttop,ARG0154_primarybranch,nan,ARG0154_leafstrip
ARG0155,ARG0155_flower,ARG0155_leafbottom,ARG0155_leaftop,ARG0155_plantside,ARG0155_planttop,nan,nan,ARG0155_leafstrip
ARG0156,nan,ARG0156_leafbottom,ARG0156_leaftop,ARG0156_plantside,ARG0156_planttop,ARG0156_primarybranch,nan,ARG0156_leafstrip
ARG0157,nan,ARG0157_leafbottom,ARG0157_leaftop,ARG0157_plantside,ARG0157_planttop,ARG0157_primarybranch,nan,ARG0157_leafstrip
ARG0158,nan,ARG0158_leafbottom,ARG0158_leaftop,ARG0158_plantside,ARG0158_planttop,ARG0158_primarybranch,nan,ARG0158_leafstrip
ARG0159,nan,ARG0159_leafbottom,ARG0159_leaftop,ARG0159_plantside,ARG0159_planttop,ARG0159_primarybranch,nan,ARG0159_leafstrip
ARG0160,nan,ARG0160_leafbottom,ARG0160_leaftop,ARG0160_plantside,ARG0160_planttop,ARG0160_primarybranch,nan,ARG0160_leafstrip
ARG0161,ARG0161_flower,ARG0161_leafbottom,ARG0161_leaftop,ARG0161_plantside,ARG0161_planttop,ARG0161_primarybranch,nan,ARG0161_leafstrip
ARG0162,nan,ARG0162_leafbottom,ARG0162_leaftop,ARG0162_plantside,ARG0162_planttop,ARG0162_primarybranch,nan,ARG0162_leafstrip
ARG0163,nan,ARG0163_leafbottom,ARG0163_leaftop,ARG0163_plantside,ARG0163_planttop,ARG0163_primarybranch,nan,ARG0163_leafstrip
ARG0164,ARG0164_flower,ARG0164_leafbottom,ARG0164_leaftop,ARG0164_plantside,ARG0164_planttop,ARG0164_primarybranch,nan,ARG0164_leafstrip
ARG0165,nan,nan,nan,nan,nan,nan,nan,nan
ARG0166,ARG0166_flower,ARG0166_leafbottom,ARG0166_leaftop,ARG0166_plantside,ARG0166_planttop,ARG0166_primarybranch,nan,ARG0166_leafstrip
ARG0167,nan,ARG0167_leafbottom,ARG0167_leaftop,nan,ARG0167_planttop,nan,nan,ARG0167_leafstrip
ARG0168,nan,ARG0168_leafbottom,ARG0168_leaftop,ARG0168_plantside,ARG0168_planttop,nan,nan,ARG0168_leafstrip
ARG0169,nan,ARG0169_leafbottom,ARG0169_leaftop,ARG0169_plantside,ARG0169_planttop,ARG0169_primarybranch,nan,ARG0169_leafstrip
ARG0170,nan,ARG0170_leafbottom,ARG0170_leaftop,ARG0170_plantside,ARG0170_planttop,ARG0170_primarybranch,nan,ARG0170_leafstrip
ARG0171,ARG0171_flower,ARG0171_leafbottom,ARG0171_leaftop,ARG0171_plantside,ARG0171_planttop,ARG0171_primarybranch,nan,ARG0171_leafstrip
ARG0172,ARG0172_flower,ARG0172_leafbottom,ARG0172_leaftop,ARG0172_plantside,ARG0172_planttop,ARG0172_primarybranch,nan,ARG0172_leafstrip
ARG0173,ARG0173_flower,ARG0173_leafbottom,ARG0173_leaftop,ARG0173_plantside,ARG0173_planttop,ARG0173_primarybranch,nan,ARG0173_leafstrip
ARG0174,ARG0174_flower,ARG0174_leafbottom,ARG0174_leaftop,ARG0174_plantside,ARG0174_planttop,ARG0174_primarybranch,nan,ARG0174_leafstrip
ARG0175,ARG0175_flower,ARG0175_leafbottom,ARG0175_leaftop,ARG0175_plantside,ARG0175_planttop,ARG0175_primarybranch,nan,ARG0175_leafstrip
ARG0176,ARG0176_flower,ARG0176_leafbottom,ARG0176_leaftop,ARG0176_plantside,ARG0176_planttop,ARG0176_primarybranch,nan,ARG0176_leafstrip
ARG0177,ARG0177_flower,ARG0177_leafbottom,ARG0177_leaftop,ARG0177_plantside,ARG0177_planttop,ARG0177_primarybranch,nan,ARG0177_leafstrip
